                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4174,                 2.3117,                 1.1561,                0.91532,                0.22689,                0.83661,                 0.4512,                  1.334,                 2.5528,                 1.1038,             0.00065728,             0.00065728,             0.00065728
                      2,                 1.4015,                 1.7225,                 1.2267,                 0.9165,                0.83018,                0.90222,                0.52813,                 1.3859,                 1.5694,                  1.226,              0.0012912,              0.0012912,              0.0012912
                      3,                 1.4148,                 1.5051,                 1.2135,                0.95559,                0.90403,                0.93627,                0.56126,                 1.2806,                 1.4149,                 1.2131,              0.0018921,              0.0018921,              0.0018921
                      4,                 1.3569,                 1.3383,                 1.1989,                0.91363,                 0.8889,                0.91065,                0.53703,                 1.3624,                 1.1967,                 1.2348,              0.0018515,              0.0018515,              0.0018515
                      5,                 1.3296,                 1.2764,                 1.1844,                0.97297,                 0.9076,                0.95762,                 0.5855,                 1.2785,                  1.082,                 1.1884,               0.001802,               0.001802,               0.001802
                      6,                 1.3148,                  1.262,                 1.1672,                0.94536,                0.90756,                0.96218,                0.62547,                 1.2505,                0.96651,                 1.1689,              0.0017525,              0.0017525,              0.0017525
                      7,                 1.2867,                 1.0845,                 1.1613,                0.95163,                0.89916,                0.97172,                 0.5716,                 1.3514,                 1.0471,                 1.2177,               0.001703,               0.001703,               0.001703
                      8,                 1.2471,                 1.0373,                 1.1555,                 0.9821,                0.92225,                0.96201,                0.59948,                 1.2709,                0.84325,                 1.1688,              0.0016535,              0.0016535,              0.0016535
                      9,                 1.2605,                 1.0183,                 1.1553,                0.98219,                0.92686,                0.96716,                0.63195,                 1.2295,                0.80836,                 1.1291,               0.001604,               0.001604,               0.001604
                     10,                  1.239,                0.97301,                 1.1313,                0.98194,                0.91396,                 0.9702,                0.60857,                 1.2893,                 0.8069,                 1.1623,              0.0015545,              0.0015545,              0.0015545
                     11,                 1.2622,                0.92963,                 1.1272,                0.95527,                0.93277,                0.97635,                0.55243,                 1.4327,                0.85018,                 1.2333,               0.001505,               0.001505,               0.001505
                     12,                  1.233,                0.86337,                 1.1165,                0.98657,                0.94958,                0.97587,                0.61373,                 1.2853,                0.74078,                 1.1554,              0.0014555,              0.0014555,              0.0014555
                     13,                 1.2353,                0.84246,                 1.1204,                0.98996,                0.94118,                0.97064,                0.62413,                 1.2383,                0.69782,                 1.1401,               0.001406,               0.001406,               0.001406
                     14,                 1.1846,                0.84539,                 1.0887,                0.99122,                0.94861,                0.96985,                0.62413,                 1.2479,                0.67085,                 1.1375,              0.0013565,              0.0013565,              0.0013565
                     15,                 1.1814,                 0.7898,                 1.1027,                0.97883,                0.93277,                 0.9764,                0.60704,                 1.2969,                 0.6895,                 1.1573,               0.001307,               0.001307,               0.001307
                     16,                 1.1563,                0.77637,                 1.0886,                0.98076,                0.94118,                0.96928,                 0.6191,                  1.229,                0.65456,                 1.1484,              0.0012575,              0.0012575,              0.0012575
                     17,                 1.1325,                0.74789,                 1.0688,                0.99121,                 0.9474,                 0.9696,                0.61472,                 1.2114,                0.63078,                 1.1206,               0.001208,               0.001208,               0.001208
                     18,                 1.1562,                0.75411,                 1.0793,                0.98927,                0.95798,                 0.9776,                 0.5982,                 1.3042,                 0.6452,                 1.1821,              0.0011585,              0.0011585,              0.0011585
                     19,                 1.1939,                 0.7354,                 1.1055,                0.98274,                0.95688,                0.98281,                0.62617,                 1.2205,                0.60775,                 1.1478,               0.001109,               0.001109,               0.001109
                     20,                   1.14,                0.71288,                 1.0739,                0.99696,                0.93277,                0.98018,                0.62605,                 1.2253,                0.61521,                 1.1256,              0.0010595,              0.0010595,              0.0010595
                     21,                  1.109,                0.67384,                 1.0762,                0.99379,                0.94118,                0.98465,                0.63041,                  1.196,                0.59848,                 1.1237,                0.00101,                0.00101,                0.00101
                     22,                 1.1216,                0.66124,                 1.0715,                      1,                0.94071,                0.97761,                 0.6281,                 1.2313,                0.59253,                 1.1409,              0.0009605,              0.0009605,              0.0009605
                     23,                 1.1012,                0.66217,                  1.076,                0.97408,                0.94733,                0.97514,                0.61054,                  1.253,                 0.5991,                 1.1603,               0.000911,               0.000911,               0.000911
                     24,                 1.1076,                0.65184,                 1.0592,                0.96349,                0.95798,                0.97317,                0.64694,                 1.2191,                0.59033,                  1.126,              0.0008615,              0.0008615,              0.0008615
                     25,                 1.1492,                0.65113,                 1.0676,                0.97435,                0.95763,                 0.9727,                0.64488,                 1.2025,                0.56957,                 1.1167,               0.000812,               0.000812,               0.000812
                     26,                 1.1045,                 0.6501,                   1.06,                0.99674,                0.93277,                0.97875,                 0.6406,                  1.205,                0.57004,                 1.1346,              0.0007625,              0.0007625,              0.0007625
                     27,                 1.1202,                0.64201,                 1.0613,                0.99418,                0.94958,                0.97626,                  0.653,                 1.1587,                0.55298,                 1.1068,               0.000713,               0.000713,               0.000713
                     28,                 1.1184,                0.61494,                 1.0621,                0.99297,                0.94118,                0.97145,                0.64879,                  1.193,                0.56616,                 1.1083,              0.0006635,              0.0006635,              0.0006635
                     29,                 1.0902,                0.62198,                   1.04,                      1,                0.94843,                0.97212,                0.63325,                 1.2026,                0.55738,                   1.11,               0.000614,               0.000614,               0.000614
                     30,                 1.0878,                0.60403,                 1.0353,                0.98409,                0.94958,                0.97369,                0.65401,                 1.1602,                0.55216,                 1.1048,              0.0005645,              0.0005645,              0.0005645
                     31,                 1.0879,                0.62992,                 1.0561,                0.98937,                0.95798,                0.97348,                0.63618,                 1.1779,                0.56113,                 1.1202,               0.000515,               0.000515,               0.000515
                     32,                 1.0363,                0.61686,                 1.0317,                0.99668,                0.94958,                0.97122,                0.61735,                 1.1883,                0.56464,                 1.1006,              0.0004655,              0.0004655,              0.0004655
                     33,                 1.0325,                0.59897,                 1.0354,                0.99124,                0.95141,                0.97427,                0.62446,                 1.1934,                0.54751,                 1.1008,               0.000416,               0.000416,               0.000416
                     34,                 1.0533,                0.61036,                 1.0194,                0.98187,                0.95798,                0.97717,                0.63603,                 1.1588,                0.56861,                 1.0905,              0.0003665,              0.0003665,              0.0003665
                     35,                 1.0159,                0.59046,                 1.0174,                 0.9825,                0.94342,                0.97487,                 0.6469,                 1.1584,                0.57014,                 1.0896,               0.000317,               0.000317,               0.000317
                     36,                 1.0104,                0.58667,                 1.0282,                0.99113,                0.93915,                0.96895,                0.64479,                 1.1545,                 0.5561,                 1.0935,              0.0002675,              0.0002675,              0.0002675
                     37,                 1.0025,                0.58066,                 1.0373,                0.97194,                0.94958,                0.97621,                0.64881,                 1.1396,                0.53824,                  1.084,               0.000218,               0.000218,               0.000218
                     38,                0.99846,                0.56674,                 1.0304,                0.98983,                0.94118,                0.97794,                0.64913,                 1.1401,                0.52108,                 1.0833,              0.0001685,              0.0001685,              0.0001685
