                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5256,                 2.6466,                 1.2453,                0.93131,                0.92437,                0.95353,                0.57166,                 1.3053,                 1.8896,                 1.1795,             0.00065728,             0.00065728,             0.00065728
                      2,                 1.4465,                 1.1464,                 1.2246,                0.60049,                0.71429,                0.66147,                0.39331,                  1.379,                 1.5185,                 1.2113,              0.0012912,              0.0012912,              0.0012912
                      3,                 1.4509,                 1.0771,                 1.2173,                0.82748,                0.88677,                0.90208,                0.52687,                 1.3638,                 2.9659,                 1.2321,              0.0018921,              0.0018921,              0.0018921
                      4,                 1.4365,                  1.051,                  1.238,                0.85978,                0.90756,                0.91322,                 0.5156,                  1.363,                 1.0458,                 1.2842,              0.0018515,              0.0018515,              0.0018515
                      5,                 1.4443,                 1.0043,                 1.2766,                0.90844,                0.83383,                0.89652,                0.54274,                 1.3228,                0.95083,                 1.2427,               0.001802,               0.001802,               0.001802
                      6,                 1.3721,                0.86706,                 1.2366,                0.96493,                0.92499,                0.94915,                0.57039,                 1.2997,                0.78639,                 1.2188,              0.0017525,              0.0017525,              0.0017525
                      7,                 1.3352,                0.86089,                 1.2118,                0.93946,                0.86555,                0.93363,                0.53466,                 1.3565,                0.86212,                 1.2686,               0.001703,               0.001703,               0.001703
                      8,                 1.3093,                0.76961,                 1.1865,                0.96942,                0.91597,                0.96568,                0.61831,                 1.2597,                0.69928,                 1.1763,              0.0016535,              0.0016535,              0.0016535
                      9,                 1.3264,                0.76258,                 1.1973,                0.96558,                0.94287,                0.96885,                0.62044,                 1.2591,                0.72434,                 1.1899,               0.001604,               0.001604,               0.001604
                     10,                 1.3129,                0.76517,                 1.1886,                0.96323,                0.91597,                0.96448,                0.57706,                 1.3316,                0.74099,                 1.2387,              0.0015545,              0.0015545,              0.0015545
                     11,                 1.2904,                0.77672,                 1.1892,                0.97788,                0.93277,                0.96796,                0.62661,                 1.2819,                0.73104,                 1.1833,               0.001505,               0.001505,               0.001505
                     12,                  1.287,                0.77115,                 1.1657,                0.98273,                0.95646,                0.97526,                0.61195,                 1.2799,                0.66603,                 1.1903,              0.0014555,              0.0014555,              0.0014555
                     13,                 1.2289,                0.67553,                 1.1477,                0.98253,                0.94501,                 0.9769,                 0.6199,                  1.308,                0.63651,                 1.2017,               0.001406,               0.001406,               0.001406
                     14,                  1.241,                0.68755,                 1.1634,                0.99105,                0.93061,                0.97226,                0.62042,                 1.2471,                 0.6215,                   1.17,              0.0013565,              0.0013565,              0.0013565
                     15,                 1.2149,                0.68096,                 1.1348,                0.94172,                0.94958,                0.97702,                0.59944,                 1.2677,                0.63213,                 1.1786,               0.001307,               0.001307,               0.001307
                     16,                 1.2096,                0.65161,                  1.128,                0.99047,                0.94958,                0.97922,                0.62885,                 1.1927,                0.59952,                 1.1412,              0.0012575,              0.0012575,              0.0012575
                     17,                 1.2555,                 0.6923,                 1.1194,                0.96524,                0.93342,                0.98407,                0.63751,                 1.2126,                0.61821,                 1.1294,               0.001208,               0.001208,               0.001208
                     18,                 1.2239,                0.68807,                 1.1422,                0.97629,                0.94958,                 0.9851,                0.63169,                 1.1782,                0.58319,                 1.1424,              0.0011585,              0.0011585,              0.0011585
                     19,                 1.1524,                0.62128,                 1.0973,                0.99124,                0.95109,                0.99033,                0.65735,                 1.2036,                0.57891,                 1.1324,               0.001109,               0.001109,               0.001109
                     20,                 1.1798,                0.63821,                 1.1358,                0.95774,                 0.9523,                0.98008,                0.63406,                 1.2045,                0.63957,                 1.1556,              0.0010595,              0.0010595,              0.0010595
                     21,                 1.1799,                0.65376,                 1.1303,                0.97659,                0.95798,                0.98828,                0.62274,                 1.2208,                0.57203,                 1.1584,                0.00101,                0.00101,                0.00101
                     22,                 1.1641,                 0.5961,                 1.1064,                0.96674,                0.94958,                0.98869,                0.64885,                 1.2388,                 0.5719,                  1.161,              0.0009605,              0.0009605,              0.0009605
                     23,                 1.1504,                0.59952,                 1.1111,                0.97347,                0.92511,                0.98813,                0.64427,                 1.2829,                0.57134,                 1.1825,               0.000911,               0.000911,               0.000911
                     24,                 1.1664,                0.62234,                  1.132,                0.97445,                0.96152,                0.98867,                0.63348,                 1.2103,                0.56808,                 1.1431,              0.0008615,              0.0008615,              0.0008615
                     25,                 1.1772,                0.59457,                 1.1005,                0.98432,                0.95798,                0.98907,                0.66891,                 1.1909,                0.55455,                 1.1192,               0.000812,               0.000812,               0.000812
                     26,                 1.1983,                0.59642,                 1.1144,                0.96573,                0.95798,                0.98859,                0.62075,                 1.2793,                 0.5895,                 1.1557,              0.0007625,              0.0007625,              0.0007625
                     27,                 1.1374,                0.57632,                 1.0896,                 0.9826,                0.94933,                0.98581,                 0.6734,                 1.1841,                0.54077,                 1.1239,               0.000713,               0.000713,               0.000713
                     28,                  1.145,                0.55717,                  1.098,                 0.9782,                0.95798,                0.98745,                0.66849,                 1.1574,                0.51383,                 1.1223,              0.0006635,              0.0006635,              0.0006635
                     29,                 1.1495,                0.56486,                 1.0892,                0.98068,                0.94958,                0.98829,                0.65714,                 1.2297,                0.54108,                 1.1586,               0.000614,               0.000614,               0.000614
                     30,                 1.1153,                0.55948,                 1.0842,                 0.9821,                0.95798,                0.98642,                 0.6537,                 1.1897,                  0.526,                 1.1369,              0.0005645,              0.0005645,              0.0005645
                     31,                 1.0862,                0.52094,                 1.0957,                0.98202,                0.95798,                0.98069,                0.65062,                 1.1826,                 0.5055,                 1.1388,               0.000515,               0.000515,               0.000515
                     32,                 1.0662,                0.48876,                 1.0787,                 0.9743,                0.95575,                0.97483,                0.63234,                 1.2741,                0.52642,                 1.1948,              0.0004655,              0.0004655,              0.0004655
                     33,                 1.0598,                0.50474,                 1.0898,                0.97243,                0.95798,                0.97639,                0.65199,                 1.1824,                 0.5018,                 1.1488,               0.000416,               0.000416,               0.000416
                     34,                 1.0669,                0.48339,                 1.0759,                 0.9532,                0.98319,                0.98432,                0.63232,                  1.246,                0.51386,                 1.1786,              0.0003665,              0.0003665,              0.0003665
                     35,                 1.0314,                0.48818,                 1.0775,                0.96647,                0.96882,                0.98417,                0.65958,                 1.1943,                0.50129,                 1.1435,               0.000317,               0.000317,               0.000317
                     36,                 1.0191,                0.47349,                 1.0369,                0.98111,                0.96639,                0.98833,                0.66421,                 1.1835,                0.50018,                 1.1456,              0.0002675,              0.0002675,              0.0002675
                     37,                 1.0131,                 0.4794,                 1.0465,                0.96632,                0.96443,                0.98719,                0.67411,                 1.1798,                0.48699,                 1.1362,               0.000218,               0.000218,               0.000218
                     38,                0.99606,                0.45916,                 1.0476,                 0.9912,                0.94647,                0.98375,                 0.6657,                  1.214,                 0.5016,                 1.1474,              0.0001685,              0.0001685,              0.0001685
                     39,                0.98943,                0.45594,                 1.0518,                0.97314,                0.95798,                0.98691,                0.64614,                 1.2309,                0.50084,                 1.1614,               0.000119,               0.000119,               0.000119
                     40,                0.98072,                0.45924,                 1.0307,                0.98108,                0.95798,                0.98687,                0.65379,                 1.2156,                0.48836,                 1.1564,               6.95e-05,               6.95e-05,               6.95e-05
