                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5139,                 2.6258,                 1.2338,                0.89477,                0.90756,                 0.9561,                0.58923,                 1.3115,                 1.9264,                  1.145,             0.00065728,             0.00065728,             0.00065728
                      2,                 1.4333,                 1.2219,                 1.2055,                0.94725,                0.90551,                0.95502,                0.59171,                 1.3049,                 1.0132,                 1.1378,              0.0012912,              0.0012912,              0.0012912
                      3,                 1.3868,                 1.0823,                 1.1698,                0.97415,                0.91597,                 0.9852,                0.55362,                 1.4095,                0.78959,                 1.1789,              0.0018921,              0.0018921,              0.0018921
                      4,                 1.3968,                0.96078,                 1.1662,                0.97709,                0.94118,                0.97429,                0.59962,                 1.3266,                0.72918,                 1.1856,              0.0018515,              0.0018515,              0.0018515
                      5,                 1.3515,                 0.8422,                 1.1698,                0.96563,                0.94428,                0.98046,                0.60269,                 1.2502,                0.67379,                  1.135,               0.001802,               0.001802,               0.001802
                      6,                 1.3509,                0.81521,                 1.1822,                0.99098,                0.92334,                0.96551,                0.60586,                 1.3029,                0.67169,                 1.1579,              0.0017525,              0.0017525,              0.0017525
                      7,                 1.3108,                0.78103,                 1.1724,                0.96505,                0.92817,                0.98522,                0.61398,                 1.2752,                0.69601,                 1.1529,               0.001703,               0.001703,               0.001703
                      8,                 1.2769,                0.73013,                  1.145,                0.96887,                0.94118,                0.98832,                0.62066,                 1.2367,                0.65359,                 1.1348,              0.0016535,              0.0016535,              0.0016535
                      9,                  1.284,                0.73202,                 1.1518,                0.96575,                0.94794,                0.98337,                0.62627,                 1.2651,                0.65398,                 1.1594,               0.001604,               0.001604,               0.001604
                     10,                 1.2807,                 0.7391,                 1.1426,                0.97362,                0.93059,                0.97809,                0.63207,                 1.2386,                0.63821,                 1.1424,              0.0015545,              0.0015545,              0.0015545
                     11,                 1.2459,                0.70779,                 1.1301,                0.94529,                0.93277,                0.97892,                0.65153,                 1.2369,                0.65671,                 1.1269,               0.001505,               0.001505,               0.001505
                     12,                 1.2392,                0.72442,                 1.1265,                0.97407,                0.94704,                0.99043,                0.64608,                  1.234,                0.58526,                 1.1509,              0.0014555,              0.0014555,              0.0014555
                     13,                 1.1798,                0.64852,                 1.1024,                0.98266,                0.95218,                0.98788,                0.64893,                  1.273,                0.61063,                 1.1715,               0.001406,               0.001406,               0.001406
                     14,                  1.217,                0.65318,                 1.1291,                0.96574,                0.97479,                0.99199,                0.61891,                 1.2317,                 0.6139,                 1.1501,              0.0013565,              0.0013565,              0.0013565
                     15,                 1.2033,                 0.6316,                 1.1076,                0.97467,                0.97002,                0.99242,                0.61315,                 1.3424,                0.58688,                 1.1917,               0.001307,               0.001307,               0.001307
                     16,                 1.1778,                0.61411,                 1.0976,                0.97793,                0.95798,                0.98861,                0.63627,                 1.2336,                0.59546,                 1.1441,              0.0012575,              0.0012575,              0.0012575
                     17,                 1.1709,                0.62036,                 1.0835,                0.98979,                0.94118,                0.99166,                0.63505,                 1.1858,                0.58198,                 1.1109,               0.001208,               0.001208,               0.001208
                     18,                 1.1518,                0.59892,                  1.084,                0.98274,                0.95721,                0.98914,                0.63456,                 1.2215,                0.55972,                 1.1281,              0.0011585,              0.0011585,              0.0011585
                     19,                 1.1054,                0.58018,                 1.0621,                 0.9758,                0.95798,                0.98881,                 0.6551,                 1.1355,                0.54424,                 1.0925,               0.001109,               0.001109,               0.001109
                     20,                 1.1532,                0.60258,                 1.0844,                0.98032,                0.96639,                0.98199,                0.64147,                 1.2006,                0.54473,                 1.1282,              0.0010595,              0.0010595,              0.0010595
                     21,                 1.1306,                0.58995,                 1.0839,                0.98599,                0.96639,                0.99192,                0.66852,                 1.1981,                0.52409,                 1.1168,                0.00101,                0.00101,                0.00101
                     22,                 1.1312,                0.57342,                 1.0635,                0.98887,                0.97479,                0.99272,                0.65621,                 1.2416,                0.53672,                 1.1248,              0.0009605,              0.0009605,              0.0009605
                     23,                 1.1077,                0.55452,                 1.0593,                0.98288,                  0.965,                0.98399,                0.65945,                 1.2269,                0.52249,                 1.1178,               0.000911,               0.000911,               0.000911
                     24,                 1.1279,                0.57999,                 1.0805,                0.98773,                0.96639,                0.98526,                0.64025,                 1.2089,                0.52011,                 1.1146,              0.0008615,              0.0008615,              0.0008615
                     25,                 1.1076,                0.56305,                 1.0473,                0.98248,                0.94236,                0.99222,                0.67678,                  1.188,                0.51119,                  1.108,               0.000812,               0.000812,               0.000812
                     26,                 1.1493,                0.57639,                 1.0697,                0.97553,                0.96639,                0.99293,                0.65593,                 1.2173,                0.51495,                 1.1148,              0.0007625,              0.0007625,              0.0007625
                     27,                 1.0974,                0.54976,                 1.0365,                0.95809,                0.98319,                0.99234,                0.67568,                 1.1729,                0.51491,                 1.1101,               0.000713,               0.000713,               0.000713
                     28,                 1.0833,                0.54677,                 1.0533,                0.97284,                0.97479,                0.99293,                0.67496,                 1.1584,                0.49352,                 1.1097,              0.0006635,              0.0006635,              0.0006635
                     29,                 1.0923,                0.54704,                 1.0442,                0.99128,                0.95538,                0.99286,                0.67938,                 1.1779,                0.50682,                 1.1179,               0.000614,               0.000614,               0.000614
                     30,                 1.0758,                0.54903,                 1.0447,                0.97441,                0.96004,                0.99251,                0.65409,                 1.1969,                0.51254,                 1.1152,              0.0005645,              0.0005645,              0.0005645
                     31,                   1.05,                0.51239,                 1.0453,                0.98253,                 0.9454,                0.98365,                0.68724,                 1.1623,                0.49603,                 1.0981,               0.000515,               0.000515,               0.000515
                     32,                 1.0307,                0.49315,                 1.0231,                0.98228,                0.93141,                0.98637,                0.64187,                 1.2335,                0.53448,                 1.1313,              0.0004655,              0.0004655,              0.0004655
                     33,                 1.0211,                0.49079,                 1.0423,                0.98724,                0.93277,                0.97773,                0.66191,                 1.1876,                0.49766,                 1.0938,               0.000416,               0.000416,               0.000416
                     34,                0.99663,                0.48118,                 1.0086,                 0.9972,                0.94118,                 0.9836,                 0.6791,                 1.1753,                0.49786,                 1.0993,              0.0003665,              0.0003665,              0.0003665
                     35,                0.98425,                0.47598,                 1.0216,                0.97405,                0.94646,                0.98426,                0.66806,                 1.1488,                0.49204,                 1.0888,               0.000317,               0.000317,               0.000317
                     36,                0.97219,                0.47702,                0.99118,                0.99293,                0.92437,                0.99111,                0.66913,                 1.1634,                0.49064,                 1.1036,              0.0002675,              0.0002675,              0.0002675
