                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5309,                 1.1531,                 1.3073,                0.92736,                0.85827,                0.93107,                0.55531,                 1.4093,                 1.1778,                 1.2915,             0.00065728,             0.00065728,             0.00065728
                      2,                 1.2682,                0.90007,                 1.1263,                0.95687,                0.93224,                0.95855,                0.56389,                 1.3377,                0.74773,                 1.1935,              0.0012912,              0.0012912,              0.0012912
                      3,                 1.2467,                0.83566,                 1.0945,                0.97339,                0.92221,                0.96738,                0.60498,                 1.2769,                0.72054,                 1.1363,              0.0018921,              0.0018921,              0.0018921
                      4,                 1.2095,                0.79168,                   1.09,                0.96481,                 0.9215,                 0.9525,                0.59054,                  1.235,                0.66971,                 1.1546,              0.0018515,              0.0018515,              0.0018515
                      5,                 1.1812,                0.75363,                  1.066,                0.98733,                0.92437,                0.97096,                0.57787,                 1.3173,                0.65976,                 1.1649,               0.001802,               0.001802,               0.001802
                      6,                 1.2165,                0.73094,                 1.0885,                0.98732,                0.89916,                0.95727,                 0.5861,                 1.2921,                0.62476,                 1.1395,              0.0017525,              0.0017525,              0.0017525
                      7,                 1.1906,                0.69335,                  1.076,                0.97303,                 0.9094,                0.96867,                0.62515,                 1.2152,                0.59106,                 1.1174,               0.001703,               0.001703,               0.001703
                      8,                 1.1611,                 0.6737,                 1.0654,                0.97962,                0.92437,                0.97382,                0.61709,                 1.2347,                0.59849,                 1.1325,              0.0016535,              0.0016535,              0.0016535
                      9,                  1.104,                 0.6332,                 1.0594,                0.92691,                0.95911,                0.96943,                 0.6312,                 1.2064,                0.56799,                 1.1021,               0.001604,               0.001604,               0.001604
                     10,                 1.1147,                0.64722,                  1.054,                0.97391,                0.95798,                0.96681,                0.62726,                 1.2098,                0.58046,                 1.1033,              0.0015545,              0.0015545,              0.0015545
                     11,                 1.1179,                0.62077,                 1.0481,                0.98872,                0.94118,                0.97266,                0.62303,                 1.2511,                0.58221,                 1.1255,               0.001505,               0.001505,               0.001505
                     12,                 1.1161,                0.60972,                 1.0545,                0.99121,                 0.9478,                0.97516,                 0.6212,                 1.2234,                0.57512,                 1.1113,              0.0014555,              0.0014555,              0.0014555
                     13,                 1.1181,                 0.6067,                 1.0517,                0.98048,                0.96639,                0.97575,                 0.6272,                 1.2305,                0.55779,                 1.1231,               0.001406,               0.001406,               0.001406
                     14,                  1.088,                0.59169,                 1.0423,                0.97456,                0.96565,                0.97607,                0.65703,                 1.2139,                0.54575,                 1.1052,              0.0013565,              0.0013565,              0.0013565
                     15,                 1.1035,                0.58485,                  1.052,                0.96658,                 0.9722,                0.97728,                0.65238,                  1.225,                0.54351,                 1.1009,               0.001307,               0.001307,               0.001307
                     16,                 1.0894,                0.57955,                 1.0335,                0.97471,                0.97181,                0.97689,                0.63451,                 1.2244,                0.53742,                 1.1184,              0.0012575,              0.0012575,              0.0012575
                     17,                 1.0638,                0.56247,                 1.0236,                0.97452,                0.96421,                0.97692,                0.65227,                  1.173,                0.53136,                 1.1024,               0.001208,               0.001208,               0.001208
                     18,                 1.0475,                0.55932,                 1.0204,                 0.9829,                0.96584,                 0.9764,                0.65351,                 1.2213,                0.54067,                 1.1052,              0.0011585,              0.0011585,              0.0011585
                     19,                 1.0947,                0.56974,                 1.0357,                0.99057,                0.95798,                0.97566,                0.64368,                 1.1786,                0.53876,                 1.0996,               0.001109,               0.001109,               0.001109
                     20,                 1.0442,                0.56382,                 1.0221,                0.95639,                0.96639,                0.97571,                0.66492,                 1.1811,                0.52842,                 1.0975,              0.0010595,              0.0010595,              0.0010595
                     21,                  1.036,                0.54505,                 1.0252,                0.98543,                0.94958,                0.97812,                 0.6657,                 1.1687,                0.52052,                  1.097,                0.00101,                0.00101,                0.00101
                     22,                 1.0312,                0.53936,                 1.0267,                0.97352,                0.96639,                0.97708,                0.67227,                 1.1698,                 0.5179,                 1.0947,              0.0009605,              0.0009605,              0.0009605
                     23,                 1.0221,                0.55252,                 1.0288,                0.98277,                0.95864,                0.97758,                0.63982,                 1.2394,                0.52398,                 1.1293,               0.000911,               0.000911,               0.000911
                     24,                 1.0289,                0.54183,                 1.0219,                0.97964,                0.94958,                 0.9765,                 0.6701,                 1.1886,                0.51346,                 1.1039,              0.0008615,              0.0008615,              0.0008615
                     25,                 1.0343,                0.52978,                 1.0113,                 0.9824,                0.93837,                0.97545,                0.67071,                 1.1675,                0.51444,                 1.0917,               0.000812,               0.000812,               0.000812
                     26,                 1.0279,                0.52706,                 1.0128,                0.98242,                0.93938,                0.97576,                0.66993,                 1.1604,                0.51849,                 1.0898,              0.0007625,              0.0007625,              0.0007625
                     27,                 1.0409,                0.52625,                 1.0228,                0.95008,                0.95958,                0.97626,                0.66696,                 1.1823,                0.50978,                 1.1014,               0.000713,               0.000713,               0.000713
                     28,                 1.0596,                0.52676,                 1.0294,                0.97779,                0.93277,                0.97509,                0.65469,                 1.1922,                0.52656,                 1.1109,              0.0006635,              0.0006635,              0.0006635
                     29,                 1.0306,                 0.5242,                 1.0162,                0.98058,                0.93277,                0.97553,                0.66802,                 1.1892,                0.50108,                 1.1037,               0.000614,               0.000614,               0.000614
                     30,                 1.0313,                 0.5169,                 1.0086,                0.98239,                0.93778,                0.97503,                0.66704,                 1.1895,                0.50652,                 1.1078,              0.0005645,              0.0005645,              0.0005645
                     31,                 1.0407,                0.51696,                 1.0331,                0.99114,                0.93995,                0.97416,                0.65887,                 1.1985,                0.52045,                 1.1173,               0.000515,               0.000515,               0.000515
                     32,                0.99612,                0.50346,                 1.0058,                0.97385,                0.93902,                0.97487,                0.66915,                 1.1686,                0.50367,                 1.1031,              0.0004655,              0.0004655,              0.0004655
                     33,                  1.003,                0.48656,                 1.0234,                0.97748,                0.94118,                0.97585,                0.66693,                 1.1588,                0.49546,                 1.0975,               0.000416,               0.000416,               0.000416
